,CompanyName,companyNameLinkedin,companyIndustries
0,TD,TD,Banking
1,Light Up The World (LUTW),Light-Up-The-World,Renewables & Environment
2,Glacier,Glacier,Financial Services
3,Sprout App,Sprout-App,Computer Software
4,College Pro,College-Pro,Consumer Services
5,Microsoft,Microsoft,Computer Software
6,SIG Consulting,SIG-Consulting,Information Technology & Services
7,K3 Retail,K3-Retail,Information Technology & Services
8,"Motech Industries, Inc. Solar BU",Motech-Industries-Inc.-Solar-BU,Renewables & Environment
9,Cytec Solvay Group,Cytec-Solvay-Group,Chemicals
10,DuPont,DuPont,Chemicals
11,UnitedHealth Group,UnitedHealth-Group,Hospital & Health Care
12,Ingersoll Rand,Ingersoll-Rand,Electrical & Electronic Manufacturing
13,Allianz,Allianz,Financial Services
14,GE Capital,GE-Capital,Mechanical Or Industrial Engineering
15,One Click Life formerly JUST FSG,One-Click-Life-formerly-JUST-FSG,"Health, Wellness & Fitness"
16,Google,Google,Internet
17,Office Depot,Office-Depot,Business Supplies & Equipment
18,Transaction Equipment Corp,Transaction-Equipment-Corp,Nan
19,CMather Web Development,CMather-Web-Development,Internet
20,Mayne Pharma,Mayne-Pharma,Pharmaceuticals
21,Bendigo and Adelaide Bank,Bendigo-and-Adelaide-Bank,Banking
22,IBISWorld,IBISWorld,Market Research
23,Kinetic Super,Kinetic-Super,Financial Services
24,Capability Network,Capability-Network,Management Consulting
25,Aristocrat,Aristocrat,Gambling & Casinos
26,GU2 Radio,GU2-Radio,Broadcast Media
27,Lionhead Studios,Lionhead-Studios,Computer Games
28,Intandem Solutions Limited,Intandem-Solutions-Limited,Computer Software
29,IBM,IBM,Information Technology & Services
30,KPMG US,KPMG-US,Financial Services
31,Deloitte,Deloitte,Management Consulting
32,Rapidigm,Rapidigm,Information Technology & Services
33,Domin-8 Enterprise Solutions,Domin-8-Enterprise-Solutions,Computer Software
34,Mapp Digital,Mapp-Digital,Marketing & Advertising
35,"SIA, Sistemas Inform?­ticos Abiertos, S.A.",SIA-Sistemas-Inform?­ticos-Abiertos-S.A.,Wholesale
36,Sybari Software,Sybari-Software,Computer Software
37,"RedWorks, Inc.",RedWorks-Inc.,Marketing & Advertising
38,Neo@Ogilvy,Neo@Ogilvy,Nan
39,rVue,rVue,Marketing & Advertising
40,Norton Rose Fulbright,Norton-Rose-Fulbright,Computer Software
41,King & Wood Mallesons,King-&-Wood-Mallesons,Legal Services
42,Garfield Robbins International,Garfield-Robbins-International,Legal Services
43,Vodafone,Vodafone,Telecommunications
44,Hays,Hays,Staffing & Recruiting
45,LG Soft India,LG-Soft-India,Computer Software
46,LG CNS India,LG-CNS-India,Information Technology & Services
47,GE,GE,Mechanical Or Industrial Engineering
48,NASSCOM,NASSCOM,Nan
49,People10 Technologies Inc.,People10-Technologies-Inc.,Nan
50,EXCEED IT Services & Training,EXCEED-IT-Services-&-Training,Outsourcing/Offshoring
51,Adobe,Adobe,Computer Software
52,CitiXsys - iVend Retail,CitiXsys---iVend-Retail,Computer Software
53,Nokia,Nokia,Telecommunications
54,Dassault Syst??mes 3DEXCITE,Dassault-Syst??mes-3DEXCITE,Nan
55,FH O?? Forschung & Entwicklung GmbH,FH-O??-Forschung-&-Entwicklung-GmbH,Nan
56,"Interactive & Digital Media Institute, National University of Singapore",Interactive-&-Digital-Media-Institute-National-University-of-Singapore,Information Technology & Services
57,"Sunera Technologies, Inc. (SuneraTech)",Sunera-Technologies-Inc.,Professional Training & Coaching
58,Partner Development Centre Asia Pacific,Partner-Development-Centre-Asia-Pacific,Internet
59,Carpe Diem Consulting,Carpe-Diem-Consulting,Marketing & Advertising
60,PwC Consulting,PwC-Consulting,Accounting
61,Maersk Data,Maersk-Data,Information Technology & Services
62,Ramboll,Ramboll,Civil Engineering
63,NNIT,NNIT,Information Technology & Services
64,Self Employed Independent Peoplesoft Consultant,Self-Employed-Independent-Peoplesoft-Consultant,Publishing
65,KOMPAN A/S,KOMPAN-A/S,Computer Software
66,LM Wind Power,LM-Wind-Power,Renewables & Environment
67,Arla Foods,Arla-Foods,Dairy
68,GRUNDFOS,GRUNDFOS,Mechanical Or Industrial Engineering
69,Change Agents Worldwide,Change-Agents-Worldwide,Information Services
70,"Yammer, Inc.",Yammer-Inc.,Nan
71,Espire Infolabs,Espire-Infolabs,Information Technology & Services
72,NexGEN Consultancy Pvt Ltd,NexGEN-Consultancy-Pvt-Ltd,Financial Services
73,Hewlett Packard Enterprise,Hewlett-Packard-Enterprise,Information Technology & Services
74,Top Juice,Top-Juice,Retail
75,Pre-Uni New College,Pre-Uni-New-College,Media Production
76,North Shore Coaching College,North-Shore-Coaching-College,Marketing & Advertising
77,Blue Titan Software,Blue-Titan-Software,Computer Software
78,Quick Knowledge,Quick-Knowledge,Food Production
79,Tynan Mackenzie,Tynan-Mackenzie,Financial Services
80,Capgemini,Capgemini,Information Technology & Services
81,Janssen Inc.,Janssen-Inc.,Marketing & Advertising
82,King Pharmaceuticals,King-Pharmaceuticals,Pharmaceuticals
83,Boston Scientific,Boston-Scientific,Medical Device
84,St. Jude Medical,St.-Jude-Medical,Nan
85,Abbott,Abbott,Consumer Goods
86,"Keeping Tranditions, Inc.",Keeping-Tranditions-Inc.,Human Resources
87,SWENSON,SWENSON,Nan
88,"McManigal & Associates Architects, PLLC",McManigal-&-Associates-Architects-PLLC,Nan
89,Reachwerks,Reachwerks,Marketing & Advertising
90,Ingeniux Corporation,Ingeniux-Corporation,Computer Software
91,ITGROUP,ITGROUP,Information Technology & Services
92,dr.consulta,dr.consulta,Nan
93,Concepts Systems,Concepts-Systems,Nan
94,Newcastle institute of energy and resource,Newcastle-institute-of-energy-and-resource,Real Estate
95,James Glen,James-Glen,Building Materials
96,HEAT Software,HEAT-Software,Internet
97,MWEB,MWEB,Information Technology & Services
98,Microsoft South Africa,Microsoft-South-Africa,Computer Software
99,"Microsoft West, East & Central Africa and Indian Ocean Islands",Microsoft-West-East-&-Central-Africa-and-Indian-Ocean-Islands,Computer Software
100,A.I.M. Cash & Carry,A.I.M.-Cash-&-Carry,Nan
101,CDK Digital Marketing,CDK-Digital-Marketing,Management Consulting
102,Strong-Bridge Consulting,Strong-Bridge-Consulting,Nan
103,"Expedia, Inc.",Expedia-Inc.,Internet
104,Nordstrom,Nordstrom,Retail
105,Nets & Webs,Nets-&-Webs,Financial Services
106,Dimension Data,Dimension-Data,Information Technology & Services
107,Federal Department of Climate Change and Energy Efficiency,Federal-Department-of-Climate-Change-and-Energy-Efficiency,Oil & Energy
108,Business Aspect,Business-Aspect,Management Consulting
109,Deutsche Bank,Deutsche-Bank,Financial Services
110,Institute of Travel Management,Institute-of-Travel-Management,Non-profit Organization Management
111,PWA,PWA,Mining & Metals
112,Microsoft Business Solutions,Microsoft-Business-Solutions,Computer Software
113,Thomsons Online Benefits,Thomsons-Online-Benefits,Computer Software
114,Willis Towers Watson,Willis-Towers-Watson,Financial Services
115,"Channel Crossings, s.r.o.",Channel-Crossings-s.r.o.,Internet
116,SATPO,SATPO,Real Estate
117,Indian School of Business,Indian-School-of-Business,Higher Education
118,Toastmasters International,Toastmasters-International,Non-profit Organization Management
119,bwin,bwin,Nan
120,HCL Technologies,HCL-Technologies,Information Technology & Services
121,Sea Dragon Dive Center,Sea-Dragon-Dive-Center,Human Resources
122,MANGO,MANGO,Retail
123,CCS Fundraising,CCS-Fundraising,Philanthropy
124,Dell,Dell,Information Technology & Services
125,Brand New School,Brand-New-School,Design
126,Apple,Apple,Consumer Electronics
127,Bing Technologies,Bing-Technologies,Security & Investigations
128,Samsung Mobile,Samsung-Mobile,Nan
129,Halliburton,Halliburton,Oil & Energy
130,SnapLogic,SnapLogic,Computer Software
131,TSN - The Sports Network - Canada,TSN---The-Sports-Network---Canada,Broadcast Media
132,IQ 20/20,IQ-20/20,Nan
133,Collabera Inc. ,Collabera-Inc.-,Information Technology & Services
134,Maritime Services Board of NSW,Maritime-Services-Board-of-NSW,Photography
135,"CCHS, The University of Sydney",CCHS-The-University-of-Sydney,Nan
136,SydU*tech,SydU*tech,Nan
137,University of Sydney,University-of-Sydney,Higher Education
138,Financial Systems of Australia,Financial-Systems-of-Australia,Nan
139,"SumTotal Systems, LLC",SumTotal-Systems-LLC,Management Consulting
140,BroadPoint Group,BroadPoint-Group,Staffing & Recruiting
141,RS2i,RS2i,Information Technology & Services
142,Taranis Software Pty Ltd,Taranis-Software-Pty-Ltd,Internet
143,Wunderman-Bienalto,Wunderman-Bienalto,Marketing & Advertising
144,The University of Edinburgh,The-University-of-Edinburgh,Law Practice
145,Heriot-Watt University,Heriot-Watt-University,Higher Education
146,Global Brands Group (GBG),Global-Brands-Group,Consumer Goods
147,The Austin Chronicle,The-Austin-Chronicle,Newspapers
148,The University of Texas at Austin,The-University-of-Texas-at-Austin,Management Consulting
149,Gnap! Theatre Projects,Gnap!-Theatre-Projects,Nan
150,University of Southern California,University-of-Southern-California,Higher Education
151,"BMW of North America, LLC",BMW-of-North-America-LLC,Automotive
152,Worldbuilding Media Lab,Worldbuilding-Media-Lab,Nan
153,Paralect,Paralect,Information Technology & Services
154,Frima,Frima,Nan
155,5d Global Studio,5d-Global-Studio,Construction
156,Mobius Digital Games,Mobius-Digital-Games,Marketing & Advertising
157,Norbury Manor High School for Girls,Norbury-Manor-High-School-for-Girls,Accounting
158,McCluskey International,McCluskey-International,Nan
159,Omnicom Media Group UK,Omnicom-Media-Group-UK,Marketing & Advertising
160,Cond?? Nast,Cond??-Nast,Nan
161,Laurentian University/Universit?? Laurentienne,Laurentian-University/Universit??-Laurentienne,Nan
162,Atlas Copco,Atlas-Copco,Machinery
163,Carleton University,Carleton-University,Higher Education
164,Taste Monkey Inc.,Taste-Monkey-Inc.,Staffing & Recruiting
165,Universit?ÿ degli Studi di Trento,Universit?ÿ-degli-Studi-di-Trento,Information Services
166,Indian Institute of Science (IISc),Indian-Institute-of-Science,Research
167,CEA,CEA,Research
168,ABB,ABB,Electrical & Electronic Manufacturing
169,Caliverse,Caliverse,Information Technology & Services
170,Rolls-Royce@NTU Corporate Lab,Rolls-Royce@NTU-Corporate-Lab,Nan
171,Jatis Solutions,Jatis-Solutions,Real Estate
172,PT. Internux (BOLT - LTE Operator),PT.-Internux,Telecommunications
173,Asian University for Women,Asian-University-for-Women,Higher Education
174,Ministry of Transport & Communications,Ministry-of-Transport-&-Communications,Design
175,Qatar Foundation,Qatar-Foundation,Nan
176,New York University Abu Dhabi,New-York-University-Abu-Dhabi,Higher Education
177,Thomson Reuters Markets,Thomson-Reuters-Markets,Real Estate
178,Colt Technology Services,Colt-Technology-Services,Telecommunications
179,PureAtria,PureAtria,Computer Software
180,Rational Software,Rational-Software,Computer Software
181,Jisc,Jisc,Higher Education
182,iconmobile group,iconmobile-group,Design
183,Western Union Business Solutions,Western-Union-Business-Solutions,Financial Services
184,Registro civil Torrejon de Ardoz,Registro-civil-Torrejon-de-Ardoz,Government Administration
185,Avon,Avon,Cosmetics
186,Diageo,Diageo,Wine & Spirits
187,Fishburn Hedges,Fishburn-Hedges,Public Relations & Communications
188,The Sauce Agency,The-Sauce-Agency,Management Consulting
189,RMIT University,RMIT-University,Higher Education
190,South East Water,South-East-Water,Utilities
191,Microsoft Bing,Microsoft-Bing,Computer Software
192,Hanbit Media,Hanbit-Media,Publishing
193,University of Technology Sydney,University-of-Technology-Sydney,Higher Education
194,Agility Global Health Solutions,Agility-Global-Health-Solutions,Hospital & Health Care
195,Westpac,Westpac,Banking
196,Ourway Event Management,Ourway-Event-Management,Nan
197,Federal Government,Federal-Government,Information Technology & Services
198,K & H International School,K-&-H-International-School,Marketing & Advertising
199,Mahindra Comviva,Mahindra-Comviva,Information Technology & Services
200,Spread Tecnologia,Spread-Tecnologia,Information Technology & Services
201,Orange Business Services,Orange-Business-Services,Information Technology & Services
202,Katena Cloud Consulting,Katena-Cloud-Consulting,Information Technology & Services
203,Aptara,Aptara,Publishing
204,Caltech,Caltech,Nan
205,AT&T Bell Laboratories,AT&T-Bell-Laboratories,Electrical & Electronic Manufacturing
206,Sun Microsystems,Sun-Microsystems,Market Research
207,Facebook,Facebook,Internet
208,Volt Technical Resources,Volt-Technical-Resources,Staffing & Recruiting
209,"TeleCommunication Systems, Inc.",TeleCommunication-Systems-Inc.,Nan
210,Deloitte Digital,Deloitte-Digital,Information Technology & Services
211,AOL International,AOL-International,Marketing & Advertising
212,Millennium Software,Millennium-Software,"Health, Wellness & Fitness"
213,NetProfit Investment Technologies (dba Innovative Desktop Solutions),NetProfit-Investment-Technologies,Marketing & Advertising
214,Craftsman Book Company,Craftsman-Book-Company,Publishing
215,Cardinal Health,Cardinal-Health,Hospital & Health Care
216,Axon,Axon,Information Technology & Services
217,Purdue University,Purdue-University,Higher Education
218,Qualcomm,Qualcomm,Wireless
219,Palantir,Palantir,Oil & Energy
220,Applied Research Labs,Applied-Research-Labs,Computer Software
221,Goldman Sachs,Goldman-Sachs,Financial Services
222,University of Cambridge,University-of-Cambridge,Research
223,Metso,Metso,Machinery
224,Wicom Communications Ltd,Wicom-Communications-Ltd,Information Technology & Services
225,University of Leeds,University-of-Leeds,Higher Education
226,Dezineforce.com,Dezineforce.com,Computer Software
227,Novell,Novell,Information Technology & Services
228,Amadeus IT Group,Amadeus-IT-Group,Information Technology & Services
229,SuporTI,SuporTI,Nan
230,Allserve Systems Corp,Allserve-Systems-Corp,Nan
231,Sony Mobile Communications,Sony-Mobile-Communications,Telecommunications
232,Amazon Lab126,Amazon-Lab126,Internet
233,SpaceX,SpaceX,Aviation & Aerospace
234,"CyberVillage Networkers, Inc.",CyberVillage-Networkers-Inc.,Information Technology & Services
235,National Institute of Standards and Technology,National-Institute-of-Standards-and-Technology,Real Estate
236,UC Merced,UC-Merced,Higher Education
237,CITRIS and the Banatao Institute,CITRIS-and-the-Banatao-Institute,Nan
238,"Anderson Analytics, LLC",Anderson-Analytics-LLC,Market Research
239,Telasar Consulting,Telasar-Consulting,Information Technology & Services
240,Telalink,Telalink,Nan
241,Vanderbilt University Medical Center,Vanderbilt-University-Medical-Center,Hospital & Health Care
242,Birlasoft,Birlasoft,Information Technology & Services
243,Optimation Group,Optimation-Group,Information Technology & Services
244,South Puget Sound Community College,South-Puget-Sound-Community-College,Higher Education
245,"KNBR Investments, LLC",KNBR-Investments-LLC,Graphic Design
246,Aditi Consulting,Aditi-Consulting,Civic & Social Organization
247,"P.T. WEB MEDIA, INC.,",P.T.-WEB-MEDIA-INC.,Nan
248,'Self-Employed'?,'Self-Employed'?,Nan
249,Consolidated Contractors International Company,Consolidated-Contractors-International-Company,Construction
250,Freelance,Freelance,Staffing & Recruiting
251,OSN,OSN,Broadcast Media
252,Qlik,Qlik,Computer Software
253,Adapp Solutions,Adapp-Solutions,Information Technology & Services
254,AIG,AIG,Insurance
255,Worcester Polytechnic Institute,Worcester-Polytechnic-Institute,Higher Education
256,NVIDIA,NVIDIA,Computer Hardware
257,Symantec,Symantec,Computer Software
258,Veritas Technologies LLC,Veritas-Technologies-LLC,Computer Software
259,Government of South Australia,Government-of-South-Australia,Government Administration
260,UBS,UBS,Financial Services
261,Gerling,Gerling,Insurance
262,Colonial First State,Colonial-First-State,Financial Services
263,CSC,CSC,Information Technology & Services
264,Hyro,Hyro,Internet
265,The Kraft Heinz Company,The-Kraft-Heinz-Company,Food & Beverages
266,AIA,AIA,Insurance
267,PACT Group,PACT-Group,"Health, Wellness & Fitness"
268,Goodyear,Goodyear,Automotive
269,Chocolates dos Deuses,Chocolates-dos-Deuses,Nan
270,CNPq,CNPq,Government Administration
271,UniCamp,UniCamp,Events Services
